MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross
Shameless,(2004–2013),"
Comedy, Crime, Drama            ",8,"
The lives and relationships of a group of siblings and their estranged father Frank Gallagher on a rough Manchester estate.","
            
    Stars:
David Threlfall, 
Rebecca Atkinson, 
Alice Barry, 
Nicky Evans
","15,630",90,
Top Gear,(2002– ),"
Adventure, Comedy, Reality-TV            ",8.6,"
The hosts talk about everything car-related. From new cars to how they're fueled, this show has it all.","
            
    Stars:
Jeremy Clarkson, 
Richard Hammond, 
James May, 
The Stig
","1,11,345",60,
Vanquish,-2021,"
Action, Crime, Thriller            ",2.7,"
A mother, Victoria, is trying to put her dark past as a Russian drug courier behind her, but retired cop Damon forces Victoria to do his bidding by holding her daughter hostage.","
    Director:
George Gallo
| 
    Stars:
Morgan Freeman, 
Ruby Rose, 
Patrick Muldoon, 
Nick Vallelonga
","3,010",94,
Sweet Magnolias,(2020– ),"
Drama, Romance            ",7.4,"
Three South Carolina women, best friends since high school, shepherd one another through the complexities of romance, career, and family.","
            
    Stars:
JoAnna Garcia Swisher, 
Brooke Elliott, 
Heather Headley, 
Anneliese Judge
","10,096",,
Geostorm,-2017,"
Action, Sci-Fi, Thriller            ",5.3,"
When the network of satellites designed to control the global climate starts to attack Earth, it's a race against the clock for its creator to uncover the real threat before a worldwide Geostorm wipes out everything and everyone.","
    Director:
Dean Devlin
| 
    Stars:
Gerard Butler, 
Jim Sturgess, 
Abbie Cornish, 
Alexandra Maria Lara
","99,724",109,$33.70M
The Bureau of Magical Things,(2018– ),"
Family, Fantasy, Mystery            ",6.8,"
Teenage girl Kyra accidentally discovers an extraordinary world and gains magical powers; when an unexpected threat emerges, she must unite fairies, elves and humans to save them all.","
            
    Stars:
Kimie Tsukakoshi, 
Elizabeth Cullen, 
Mia Milnes, 
Julian Cullen
","1,349",25,
Rojst,(2018– ),"
Crime, Drama, Thriller            ",7,"
In an early-'80s Polish town, a prostitute and a youth leader are found killed, but the police's handling of the case makes two journalists suspicious.","
            
    Stars:
Dawid Ogrodnik, 
Zofia Wichlacz, 
Andrzej Seweryn, 
Agnieszka Zulewska
","3,471",50,
Sausage Party,-2016,"
Animation, Adventure, Comedy            ",6.1,"
A sausage strives to discover the truth about his existence.","
    Directors:
Greg Tiernan, 
Conrad Vernon
| 
    Stars:
Seth Rogen, 
Kristen Wiig, 
Jonah Hill, 
Alistair Abell
","1,81,775",89,$97.69M
A Futile and Stupid Gesture,-2018,"
Biography, Comedy            ",6.8,"
In the 1970s and '80s, National Lampoon's success and influence creates a new media empire overseen in part by the brilliant and troubled Douglas Kenney.","
    Director:
David Wain
| 
    Stars:
Frank Gingerich, 
Morgan Gingerich, 
Annette O'Toole, 
Harry Groener
","14,676",101,
Eurovision Song Contest: The Story of Fire Saga,-2020,"
Comedy, Music            ",6.5,"
When aspiring musicians Lars and Sigrit are given the opportunity to represent their country at the world's biggest song competition, they finally have a chance to prove that any dream worth having is a dream worth fighting for.","
    Director:
David Dobkin
| 
    Stars:
Will Ferrell, 
Rachel McAdams, 
Dan Stevens, 
Mikael Persbrandt
","84,242",123,
Russian Doll,(2019– ),"
Adventure, Comedy, Drama            ",7.9,"
A cynical young woman in New York City keeps dying and returning to the party that's being thrown in her honor on that same evening. She tries to find a way out of this strange time loop.","
            
    Stars:
Natasha Lyonne, 
Charlie Barnett, 
Sharlto Copley, 
Annie Murphy
","72,588",30,
Sa-rang-eui bul-sa-chak,(2019–2020),"
Adventure, Comedy, Romance            ",8.7,"
The absolute top secret love story of a chaebol heiress who made an emergency landing in North Korea because of a paragliding accident and a North Korean special officer who falls in love with her and who is hiding and protecting her.","
            
    Stars:
Hyun Bin, 
Son Ye-jin, 
Seo Ji-hye, 
Kim Jung-hyun
","16,879",70,
The Next Three Days,-2010,"
Action, Crime, Drama            ",7.3,"
A married couple's life is turned upside down when the wife is accused of a murder.","
    Director:
Paul Haggis
| 
    Stars:
Russell Crowe, 
Elizabeth Banks, 
Liam Neeson, 
Michael Buie
","1,89,815",133,$21.15M
Maniac,-2018,"
Comedy, Drama, Sci-Fi            ",7.8,"
Two strangers are drawn to a mysterious pharmaceutical trial for a drug that will, they're assured, with no complications or side-effects whatsoever, solve all of their problems permanently. Things do not go as planned.","
            
    Stars:
Jonah Hill, 
Emma Stone, 
Sonoya Mizuno, 
Justin Theroux
","69,384",386,
Moonlight,(I) (2016),"
Drama            ",7.4,"
A young African-American man grapples with his identity and sexuality while experiencing the everyday struggles of childhood, adolescence, and burgeoning adulthood.","
    Director:
Barry Jenkins
| 
    Stars:
Mahershala Ali, 
Naomie Harris, 
Trevante Rhodes, 
Alex R. Hibbert
","2,85,273",111,$27.85M
In the Heart of the Sea,-2015,"
Action, Adventure, Biography            ",6.9,"
A recounting of a New England whaling ship's sinking by a giant whale in 1820, an experience that later inspired the great novel Moby-Dick.","
    Director:
Ron Howard
| 
    Stars:
Chris Hemsworth, 
Cillian Murphy, 
Brendan Gleeson, 
Ben Whishaw
","1,28,605",122,$25.02M
The Babysitter: Killer Queen,-2020,"
Comedy, Horror            ",5.8,"
Two years after Cole survived a satanic blood cult, he's living another nightmare: high school. And the demons from his past? Still making his life hell.","
    Director:
McG
| 
    Stars:
Judah Lewis, 
Samara Weaving, 
Jenna Ortega, 
Emily Alyn Lind
","31,220",101,
Final Space,(2018– ),"
Animation, Action, Adventure            ",8.3,"
An astronaut named Gary and his planet-destroying sidekick called Mooncake embark on serialized journeys through space in order to unlock the mystery of where the universe actually ends and if it actually does exist.","
            
    Stars:
Fred Armisen, 
Tom Kenny, 
Olan Rogers, 
Tika Sumpter
","36,443",30,
Into the Badlands,(2015–2019),"
Action, Adventure, Drama            ",8,"
A mighty warrior and a young boy search for enlightenment in a ruthless territory controlled by feudal barons.","
            
    Stars:
Daniel Wu, 
Orla Brady, 
Emily Beecham, 
Aramis Knight
","43,147",42,
Firefly Lane,(2021– ),"
Drama, Romance            ",7.4,"
Tully and Kate support each other through good times and bad with an unbreakable bond that carries them from their teens to their forties.","
            
    Stars:
Katherine Heigl, 
Sarah Chalke, 
Ben Lawson, 
Ali Skovbye
","16,674",,
Manhunt,(II) (2017– ),"
Biography, Crime, Drama            ",8.1,"
An in-depth look at how an FBI profiler helped track down the terrorist Ted Kaczynski, the Unabomber.","
            
    Stars:
Gethin Anthony, 
Arliss Howard, 
Kelly Jenrette, 
Cameron Britton
","54,164",60,
Kingdom,(2014–2017),"
Drama            ",8.5,"
A retired MMA fighter turned trainer juggles keeping his mixed martial arts gym running and keeping his family united.","
            
    Stars:
Frank Grillo, 
Kiele Sanchez, 
Matt Lauria, 
Jonathan Tucker
","16,565",43,
Wet Hot American Summer: First Day of Camp,-2015,"
Comedy            ",7.4,"
Follows the counselors and campers on their first day at Camp Firewood in the summer of 1981.","
            
    Stars:
Marguerite Moreau, 
Zak Orth, 
Paul Rudd, 
Michael Showalter
","22,906",30,
Rebecca,(I) (2020),"
Drama, Mystery, Romance            ",6,"
A young newlywed arrives at her husband's imposing family estate on a windswept English coast and finds herself battling the shadow of his first wife, Rebecca, whose legacy lives on in the house long after her death.","
    Director:
Ben Wheatley
| 
    Stars:
Lily James, 
Armie Hammer, 
Kristin Scott Thomas, 
Keeley Hawes
","35,836",123,
Master of None,(2015– ),"
Comedy, Drama            ",8.3,"
The personal and professional life of Dev, a 30-year-old actor in New York.","
            
    Stars:
Aziz Ansari, 
Eric Wareheim, 
Lena Waithe, 
Noël Wells
","70,472",30,
The Stranger,(I) (2020),"
Crime, Drama, Mystery            ",7.3,"
Follows the lives of suburban families whose secrets and lies are made public by the appearance of a stranger.","
            
    Stars:
Richard Armitage, 
Shaun Dooley, 
Siobhan Finneran, 
Jacob Dudman
","38,697",363,
Contact,-1997,"
Drama, Mystery, Sci-Fi            ",7.5,"
Dr. Ellie Arroway, after years of searching, finds conclusive radio proof of extraterrestrial intelligence, sending plans for a mysterious machine.","
    Director:
Robert Zemeckis
| 
    Stars:
Jodie Foster, 
Matthew McConaughey, 
Tom Skerritt, 
John Hurt
","2,61,289",150,$100.92M
The Kissing Booth,-2018,"
Comedy, Romance            ",6,"
A high school student is forced to confront her secret crush at a kissing booth.","
    Director:
Vince Marcello
| 
    Stars:
Joey King, 
Jacob Elordi, 
Joel Courtney, 
Megan du Plessis
","72,207",105,
Top Boy,(2011– ),"
Crime, Drama, Thriller            ",8.4,"
Two London drug dealers ply their lucrative trade at a public housing estate in East London.","
            
    Stars:
Ashley Walters, 
Kano, 
Shone Romulus, 
Micheal Ward
","14,832",60,
Climax,(I) (2018),"
Drama, Horror, Music            ",7,"
French dancers gather in a remote, empty school building to rehearse on a wintry night. The all-night celebration morphs into a hallucinatory nightmare when they learn their sangria is laced with LSD.","
    Director:
Gaspar Noé
| 
    Stars:
Sofia Boutella, 
Romain Guillermic, 
Souheila Yacoub, 
Kiddy Smile
","58,051",97,$0.80M
Vivo,(I) (2021),"
Animation, Adventure, Comedy            ",7.3,"
Vivo, Sony Pictures Animation's first-ever musical adventure featuring all-new original songs from Lin-Manuel Miranda, will take audiences on an epic adventure to gorgeous and vibrant locations never before seen in animation.","
    Directors:
Kirk DeMicco, 
Brandon Jeffords
| 
    Stars:
Lin-Manuel Miranda, 
Ynairaly Simo, 
Zoe Saldana, 
Juan de Marcos González
",27,95,
Gods of Egypt,-2016,"
Action, Adventure, Fantasy            ",5.4,"
Mortal hero Bek teams with the god Horus in an alliance against Set, the merciless god of darkness, who has usurped Egypt's throne, plunging the once peaceful and prosperous empire into chaos and conflict.","
    Director:
Alex Proyas
| 
    Stars:
Brenton Thwaites, 
Nikolaj Coster-Waldau, 
Gerard Butler, 
Chadwick Boseman
","1,09,959",127,$31.15M
Mank,-2020,"
Biography, Comedy, Drama            ",6.9,"
1930's Hollywood is reevaluated through the eyes of scathing social critic and alcoholic screenwriter Herman J. Mankiewicz as he races to finish the screenplay of Citizen Kane (1941).","
    Director:
David Fincher
| 
    Stars:
Gary Oldman, 
Amanda Seyfried, 
Lily Collins, 
Tom Pelphrey
","63,893",131,
Bleach: Burîchi,(2004–2012),"
Animation, Action, Adventure            ",8.1,"
High school student Ichigo Kurosaki, who has the ability to see ghosts, gains soul reaper powers from Rukia Kuchiki and sets out to save the world from ""Hollows"".","
            
    Stars:
Johnny Yong Bosch, 
Michelle Ruff, 
Stephanie Sheh, 
Jamieson Price
","46,537",24,
¿Quién Mató a Sara?,(2021– ),"
Crime, Drama, Mystery            ",6.4,"
Hell-bent on exacting revenge and proving he was framed for his sister's murder, Álex sets out to unearth much more than the crime's real culprit.","
            
    Stars:
Manolo Cardona, 
Ginés García Millán, 
Carolina Miranda, 
Eugenio Siller
","10,387",,
X-Ray: Selected Satyajit Shorts,(2021– ),"
Crime, Drama, Thriller            ",7.2,"
From a satire to a psychological thriller, four short stories from celebrated auteur and writer Satyajit Ray are adapted for the screen in this series.","
            
    Stars:
Manoj Bajpayee, 
Ali Fazal, 
Harshvardhan Kapoor, 
Kay Kay Menon
","7,023",65,
The Dirt,-2019,"
Biography, Comedy, Drama            ",7,"
Based on the bestselling autobiography from Mötley Crüe, the film is an unflinching tale of success and excess as four misfits rise from the streets of Hollywood to the heights of international fame.","
    Director:
Jeff Tremaine
| 
    Stars:
Douglas Booth, 
Iwan Rheon, 
Machine Gun Kelly, 
Daniel Webber
","43,022",107,
The Real Housewives of Beverly Hills,(2010– ),"
Reality-TV            ",5.1,"
A reality series that follows some of the most affluent women in the country as they enjoy the lavish lifestyle that only Beverly Hills can provide.","
            
    Stars:
Kyle Richards, 
Adrienne Maloof, 
Camille Grammer, 
Lisa Vanderpump
","5,326",44,
Gerald's Game,-2017,"
Drama, Horror, Thriller            ",6.5,"
A couple tries to spice up their marriage in a remote lake house. After the husband dies unexpectedly, the wife is left handcuffed to their bed frame and must fight to survive and break free.","
    Director:
Mike Flanagan
| 
    Stars:
Carla Gugino, 
Bruce Greenwood, 
Chiara Aurelia, 
Carel Struycken
","95,660",103,
Outlaw King,-2018,"
Action, Biography, Drama            ",6.9,"
A true David vs. Goliath story of how the 14th century Scottish 'Outlaw King' Robert the Bruce used cunning and bravery to defeat the much larger and better equipped occupying English army.","
    Director:
David Mackenzie
| 
    Stars:
Chris Pine, 
Stephen Dillane, 
Rebecca Robin, 
Billy Howle
","64,076",121,
Another Life,(2019– ),"
Adventure, Drama, Mystery            ",5,"
Astronaut Niko Breckenridge and her young crew face unimaginable danger as they go on a high-risk mission to explore the genesis of an alien artifact.","
            
    Stars:
Katee Sackhoff, 
JayR Tinaco, 
Elizabeth Faith Ludlow, 
Blu Hunt
","25,983",43,
Crazy Ex-Girlfriend,(2015–2019),"
Comedy, Musical            ",7.8,"
A young woman abandons a choice job at a law firm and her life in New York in an attempt to find happiness in the unlikely locale of West Covina, California.","
            
    Stars:
Rachel Bloom, 
Donna Lynne Champlin, 
Vincent Rodriguez III, 
Pete Gardner
","17,902",42,
Yakusoku no Neverland,(2019–2021),"
Animation, Adventure, Drama            ",8.5,"
When three gifted kids at an isolated idyllic orphanage discover the secret and sinister purpose they were raised for, they look for a way to escape from their evil caretaker and lead the other children in a risky escape plan.","
            
    Stars:
Sumire Morohoshi, 
Mariya Ise, 
Shinei Ueki, 
Lynn
","28,438",23,
He's All That,-2021,"
Comedy, Romance            ",,"
A teenage girl sets out to give a nebbish classmate the ultimate high school makeover. An updated remake of the 1999 film, 'She's All That'.","
    Director:
Mark Waters
| 
    Stars:
Rachael Leigh Cook, 
Tanner Buchanan, 
Madison Pettis, 
Addison Rae
",,,
High School DxD,(2012–2018),"
Animation, Action, Comedy            ",7.6,"
After being killed on his first date, idiotic and perverted Issei Hyodo is resurrected as a demon by Rias Gremory only to be recruited into her club of high-class devils.","
            
    Stars:
Yûki Kaji, 
Yôko Hikasa, 
Azumi Asakura, 
Shizuka Itô
","8,085",23,
Fuller House,(2016–2020),"
Comedy, Family            ",6.7,"
In a continuation of Full House (1987), D.J. Fuller is a mother of three young boys and is a recent widow. D.J.'s sister Stephanie, her best friend Kimmy and Kimmy's teenage daughter all move in to help raise her sons. The house is now a lot fuller.","
            
    Stars:
Candace Cameron Bure, 
Jodie Sweetin, 
Andrea Barber, 
Michael Campion
","25,578",30,
Thunder Force,-2021,"
Action, Adventure, Comedy            ",4.4,"
In a world where supervillains are commonplace, two estranged childhood best friends reunite after one devises a treatment that gives them powers to protect their city.","
    Director:
Ben Falcone
| 
    Stars:
Melissa McCarthy, 
Octavia Spencer, 
Jason Bateman, 
Bobby Cannavale
","35,640",106,
The Midnight Sky,-2020,"
Drama, Fantasy, Sci-Fi            ",5.6,"
This post-apocalyptic tale follows Augustine, a lonely scientist in the Arctic, as he races to stop Sully and her fellow astronauts from returning home to a mysterious global catastrophe.","
    Director:
George Clooney
| 
    Stars:
George Clooney, 
Felicity Jones, 
David Oyelowo, 
Caoilinn Springall
","75,985",118,
Breach,(IV) (2020),"
Action, Horror, Sci-Fi            ",3.1,"
On the cusp of fatherhood, a junior mechanic aboard an interstellar ark to New Earth must outwit a malevolent cosmic terror intent on using the spaceship as a weapon.","
    Director:
John Suits
| 
    Stars:
Cody Kearsley, 
Bruce Willis, 
Rachel Nichols, 
Kassandra Clementi
","10,958",92,
Rosemary's Baby,-1968,"
Drama, Horror            ",8,"
A young couple trying for a baby move into a fancy apartment surrounded by peculiar neighbors.","
    Director:
Roman Polanski
| 
    Stars:
Mia Farrow, 
John Cassavetes, 
Ruth Gordon, 
Sidney Blackmer
","2,01,472",137,
Below Deck,(2013– ),"
Reality-TV            ",7.3,"
Follows the crew of a multi million dollar charter boat in the Caribbean.","
            
    Stars:
Lee Rosbach, 
Kate Chastain, 
Eddie Lucas, 
Ben Robinson
","2,222",43,
Kung Fu Panda 3,-2016,"
Animation, Action, Adventure            ",7.1,"
Continuing his ""legendary adventures of awesomeness"", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to home.","
    Directors:
Alessandro Carloni, 
Jennifer Yuh Nelson
| 
    Stars:
Jack Black, 
Bryan Cranston, 
Dustin Hoffman, 
Angelina Jolie
","1,41,657",95,$143.53M
Bright,(I) (2017),"
Action, Fantasy, Thriller            ",6.3,"
A detective must work with an Orc to find a powerful wand before evil creatures do.","
    Director:
David Ayer
| 
    Stars:
Will Smith, 
Joel Edgerton, 
Noomi Rapace, 
Edgar Ramírez
","1,75,334",117,
H2O: Just Add Water,(2006–2010),"
Drama, Family, Fantasy            ",7.2,"
Three girls become mermaids after a mysterious island transforms them and gives them special powers.","
            
    Stars:
Cariba Heine, 
Phoebe Tonkin, 
Angus McLaren, 
Burgess Abernethy
","13,458",23,
Colony,(2016–2018),"
Action, Adventure, Drama            ",7.4,"
In the wake of a mysterious alien invasion, a family fights to stay together in a new world order.","
            
    Stars:
Josh Holloway, 
Sarah Wayne Callies, 
Peter Jacobson, 
Tory Kittles
","32,620",42,
Deep,-2021,"
Drama, Mystery, Sci-Fi            ",4.9,"
Four insomniac med school students are lured into a neuroscience experiment that spirals out of control and must find a way out before it's too late.","
    Directors:
Sita Likitvanichkul, 
Jetarin Ratanaserikiat, 
Apirak Samudkidpisan, 
Thanabodee Uawithya, 
Adirek Wattaleela
| 
    Stars:
Panisara Rikulsurakan, 
Kay Lertsittichai, 
Supanaree Sutavijitvong, 
Krit Jeerapattananuwong
",738,101,
From Dusk Till Dawn: The Series,(2014–2016),"
Action, Crime, Fantasy            ",6.9,"
A Texas Ranger is in hot pursuit of the infamous Gecko brothers and their hostages. They all end up trapped in a desert bar secretly run by vampires and discover a vampire conspiracy.","
            
    Stars:
D.J. Cotrona, 
Zane Holtz, 
Jesse Garcia, 
Eiza González
","19,559",45,
Ender's Game,-2013,"
Action, Adventure, Fantasy            ",6.6,"
Young Ender Wiggin is recruited by the International Military to lead the fight against the Formics, an insectoid alien race who had previously tried to invade Earth and had inflicted heavy losses on humankind.","
    Director:
Gavin Hood
| 
    Stars:
Harrison Ford, 
Asa Butterfield, 
Hailee Steinfeld, 
Abigail Breslin
","2,28,812",114,$61.74M
Kôdo giasu - Hangyaku no rurûshu: Code Geass - Lelouch of the Rebellion,(2006–2012),"
Animation, Action, Drama            ",8.7,"
After being given a mysterious power to control others, an outcast prince becomes the masked leader of the rebellion against an all powerful empire","
            
    Stars:
Jun Fukuyama, 
Johnny Yong Bosch, 
Yuri Lowenthal, 
Takahiro Sakurai
","55,979",24,
Alice in Borderland,(2020– ),"
Action, Fantasy, Mystery            ",7.7,"
A group of bored delinquents are transported to a parallel wasteland as part of a survival game.","
            
    Stars:
Kento Yamazaki, 
Tao Tsuchiya, 
Nijirô Murakami, 
Keita Machida
","22,347",50,
Planet of the Apes,-1968,"
Adventure, Sci-Fi            ",8,"
An astronaut crew crash-lands on a planet in the distant future where intelligent talking apes are the dominant species, and humans are the oppressed and enslaved.","
    Director:
Franklin J. Schaffner
| 
    Stars:
Charlton Heston, 
Roddy McDowall, 
Kim Hunter, 
Maurice Evans
","1,70,681",112,$33.40M
Shot Caller,-2017,"
Crime, Drama, Thriller            ",7.3,"
A newly released prisoner is forced by the leaders of his gang to orchestrate a major crime with a brutal rival gang on the streets of Southern California.","
    Director:
Ric Roman Waugh
| 
    Stars:
Nikolaj Coster-Waldau, 
Omari Hardwick, 
Lake Bell, 
Jon Bernthal
","77,040",121,
Ash vs Evil Dead,(2015–2018),"
Action, Comedy, Horror            ",8.4,"
Ash has spent the last thirty years avoiding responsibility, maturity, and the terrors of the Evil Dead until a Deadite plague threatens to destroy all of mankind and Ash becomes mankind's only hope.","
            
    Stars:
Bruce Campbell, 
Ray Santiago, 
Dana DeLorenzo, 
Lucy Lawless
","67,180",30,
Pieces of a Woman,-2020,"
Drama            ",7.1,"
When a young mother's home birth ends in unfathomable tragedy, she begins a year-long odyssey of mourning that fractures relationships with loved ones in this deeply personal story of a woman learning to live alongside her loss.","
    Director:
Kornél Mundruczó
| 
    Stars:
Vanessa Kirby, 
Shia LaBeouf, 
Ellen Burstyn, 
Iliza Shlesinger
","41,856",126,
Yes Day,-2021,"
Comedy, Family            ",5.7,"
A mom and dad who usually say no decide to say yes to their kids' wildest requests with a few ground rules on a whirlwind day of fun and adventure.","
    Director:
Miguel Arteta
| 
    Stars:
Jennifer Garner, 
Edgar Ramírez, 
Jenna Ortega, 
Julian Lerner
","19,062",86,
The Ritual,(I) (2017),"
Horror, Mystery, Thriller            ",6.3,"
A group of old college friends reunite for a trip to a forest in Sweden, Northern Europe, but encounter a menacing presence there stalking them.","
    Director:
David Bruckner
| 
    Stars:
Rafe Spall, 
Arsher Ali, 
Robert James-Collier, 
Sam Troughton
","84,230",94,
Force of Nature,-2020,"
Action, Crime, Drama            ",4.5,"
A gang of thieves plan a heist during a hurricane and encounter trouble when a cop tries to force everyone in the building to evacuate.","
    Director:
Michael Polish
| 
    Stars:
Emile Hirsch, 
Mel Gibson, 
David Zayas, 
Kate Bosworth
","9,016",91,
Downsizing,-2017,"
Drama, Fantasy, Sci-Fi            ",5.7,"
A social satire in which a man realizes he would have a better life if he were to shrink himself to five inches tall, allowing him to live in wealth and splendor.","
    Director:
Alexander Payne
| 
    Stars:
Matt Damon, 
Christoph Waltz, 
Hong Chau, 
Kristen Wiig
","1,02,222",135,$24.45M
Fruits Basket,(2019–2021),"
Animation, Comedy, Drama            ",8.6,"
After Tohru is taken in by the Soma family, she learns that twelve family members transform involuntarily into animals of the Chinese zodiac and helps them deal with the emotional pain caused by the transformations.","
            
    Stars:
Manaka Iwami, 
Laura Bailey, 
Nobunaga Shimazaki, 
Eric Vale
","3,549",24,
Murder Mystery,-2019,"
Action, Comedy, Crime            ",6,"
A New York cop and his wife go on a European vacation to reinvigorate the spark in their marriage, but end up getting framed and on the run for the death of an elderly billionaire.","
    Director:
Kyle Newacheck
| 
    Stars:
Adam Sandler, 
Jennifer Aniston, 
Luke Evans, 
Terence Stamp
","1,10,725",97,
Poketto monsutâ,(1997– ),"
Animation, Action, Adventure            ",7.5,"
Ash Ketchum, his yellow pet Pikachu, and his human friends explore a world of powerful creatures.","
            
    Stars:
Veronica Taylor, 
Rachael Lillis, 
Eric Stuart, 
Ikue Ôtani
","39,553",24,
Cursed,-2020,"
Adventure, Drama, Fantasy            ",5.9,"
A teenage sorceress named Nimue encounters a young Arthur on her quest to find a powerful and ancient sword.","
            
    Stars:
Katherine Langford, 
Devon Terrell, 
Gustaf Skarsgård, 
Daniel Sharman
","25,954",60,
Lone Survivor,-2013,"
Action, Biography, Drama            ",7.5,"
Marcus Luttrell and his team set out on a mission to capture or kill notorious Taliban leader Ahmad Shah, in late June 2005. Marcus and his team are left to fight for their lives in one of the most valiant efforts of modern warfare.","
    Director:
Peter Berg
| 
    Stars:
Mark Wahlberg, 
Taylor Kitsch, 
Emile Hirsch, 
Ben Foster
","2,73,061",121,$125.10M
"Extremely Wicked, Shockingly Evil and Vile",-2019,"
Biography, Crime, Drama            ",6.7,"
A chronicle of the crimes of Ted Bundy from the perspective of Liz, his longtime girlfriend, who refused to believe the truth about him for years.","
    Director:
Joe Berlinger
| 
    Stars:
Lily Collins, 
Zac Efron, 
Angela Sarafyan, 
Sydney Vollmer
","84,387",110,
Henry Danger,(2014–2020),"
Action, Comedy, Family            ",5.7,"
Looking for a part-time job, 13-year-old Henry Hart finds himself helping super hero Captain Man as his sidekick, keeping the secret from his family and friends.","
            
    Stars:
Jace Norman, 
Cooper Barnes, 
Riele Downs, 
Sean Ryan Fox
","3,933",30,
Under the Dome,(2013–2015),"
Drama, Mystery, Sci-Fi            ",6.6,"
An invisible and mysterious force field descends upon a small actual town of Chester's Mill, Maine, USA, trapping residents inside, cut off from the rest of civilization. The trapped townspeople must discover the secrets and purpose of the ""dome"" or ""sphere"" and its origins, while coming to learn more than they ever knew about each other and animals too.","
            
    Stars:
Mike Vogel, 
Rachelle Lefevre, 
Alexander Koch, 
Colin Ford
","1,02,725",43,
The Founder,-2016,"
Biography, Drama            ",7.2,"
The story of Ray Kroc, a salesman who turned two brothers' innovative fast food eatery, McDonald's, into the biggest restaurant business in the world, with a combination of ambition, persistence, and ruthlessness.","
    Director:
John Lee Hancock
| 
    Stars:
Michael Keaton, 
Nick Offerman, 
John Carroll Lynch, 
Linda Cardellini
","1,34,759",115,$12.79M
Mononoke-hime,-1997,"
Animation, Action, Adventure            ",8.4,"
On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.","
    Director:
Hayao Miyazaki
| 
    Stars:
Yôji Matsuda, 
Yuriko Ishida, 
Yûko Tanaka, 
Billy Crudup
","3,59,473",134,$2.38M
Space Force,(2020– ),"
Comedy            ",6.7,"
The people tasked with creating a sixth branch of the armed services: The Space Force.","
            
    Stars:
Steve Carell, 
John Malkovich, 
Ben Schwartz, 
Diana Silvers
","49,116",30,
Timeless,(2016–2018),"
Action, Adventure, Drama            ",7.7,"
An unlikely trio travel through time in order to battle unknown criminals and protect history as we know it.","
            
    Stars:
Abigail Spencer, 
Matt Lanter, 
Malcolm Barrett, 
Paterson Joseph
","38,791",60,
Seutateueob,(2020– ),"
Comedy, Drama, Romance            ",8.1,"
Young entrepreneurs aspiring to launch virtual dreams into reality compete for success and love in the cutthroat world of Korea's high-tech industry.","
            
    Stars:
Bae Suzy, 
Nam Joo-Hyuk, 
Kim Seon-Ho, 
Kang Han-na
","5,778",80,
La catedral del mar,-2018,"
Drama, History            ",7.5,"
Based upon Ildefonso Falcones novel.","
            
    Stars:
Jordi Aguilar, 
Aitor Luna, 
Pablo Derqui, 
Ginés García Millán
","3,574",55,
Beckett,-2021,"
Action, Crime, Drama            ",,"
Following a tragic car accident in Greece, Beckett, an American tourist, finds himself at the center of a dangerous political conspiracy and on the run for his life.","
    Director:
Ferdinando Cito Filomarino
| 
    Stars:
John David Washington, 
Alicia Vikander, 
Boyd Holbrook, 
Vicky Krieps
",,108,
Triple Frontier,-2019,"
Action, Adventure, Crime            ",6.4,"
Loyalties are tested when five friends and former special forces operatives reunite to take down a South American drug lord, unleashing a chain of unintended consequences.","
    Director:
J.C. Chandor
| 
    Stars:
Ben Affleck, 
Oscar Isaac, 
Charlie Hunnam, 
Garrett Hedlund
","1,15,059",125,
Fondeados,-2021,"
Comedy            ",4.2,"
Two directionless millennial bros get high and pitch a bold new social justice app that raises millions. Now they have to come up with the app.","
    Director:
Marcos Bucay
| 
    Stars:
Aldo Escalante, 
Ricardo Polanco, 
Natalia Téllez, 
Fabrizio Santini
",161,97,
